1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      x_sc                      y_sc                      E                         G                         I_x                       I_y                       I_T                       k_x                       k_y                       A                         theta_s                   x_ec                      y_ec                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
3.600000000000E+01        3.092197504290E+02        1.220865672300E-01        2.685339879435E-02        3.927911507198E-01        1.023390903721E+00        6.467677700570E-01        7.731765629057E-02        2.085237174673E+10        3.116890187879E+09        2.355652717757E-02        1.633963861892E-01        3.216492067681E-02        5.078982473972E-01        1.568672012982E-01        3.625151461486E-01        -2.309685297930E+00       3.658579098084E-01        -3.364579895743E-03      
3.696400000000E+01        2.833791368500E+02        1.293122577559E-01        2.402381797466E-02        3.838936785735E-01        9.984697605865E-01        6.460268856764E-01        7.627691854656E-02        2.111746277828E+10        3.071120784508E+09        2.145350853580E-02        1.488759125876E-01        2.840749141418E-02        5.039485048291E-01        1.527826899187E-01        3.504989594641E-01        -2.218899814249E+00       3.667167843220E-01        -3.068629377897E-03      
3.803500000000E+01        2.784678669660E+02        1.273532667912E-01        2.411365279126E-02        3.711128195747E-01        9.772585975106E-01        6.257791052095E-01        7.652644022880E-02        2.164322644490E+10        3.108189940222E+09        1.945422959666E-02        1.374838216304E-01        2.595377594278E-02        5.037535503755E-01        1.503366108863E-01        3.403493297500E-01        -2.148043294354E+00       3.622927048402E-01        -1.921746324308E-03      
3.900000000000E+01        2.714744142330E+02        1.256050082725E-01        2.441093122327E-02        3.596963397232E-01        9.587398042214E-01        6.136238254965E-01        7.736328780426E-02        2.209973312866E+10        3.121915530365E+09        1.772637657654E-02        1.270863182103E-01        2.348406454619E-02        5.000328558506E-01        1.477779289422E-01        3.299532992145E-01        -2.093832417689E+00       3.590489875290E-01        -8.943807421701E-04      
4.000000000000E+01        2.675664477020E+02        1.245543041578E-01        2.469941339222E-02        3.487961559162E-01        9.400960226991E-01        6.069473251728E-01        7.711939545307E-02        2.259640851236E+10        3.159508322686E+09        1.623068320073E-02        1.182618129084E-01        2.144879017609E-02        4.993387826649E-01        1.447398769526E-01        3.215286471444E-01        -2.059271805268E+00       3.551879186043E-01        1.596948004035E-04       
4.096400000000E+01        2.582348417300E+02        1.204857593397E-01        2.545212936294E-02        3.378467273839E-01        9.239316435524E-01        5.966017787365E-01        7.724954919811E-02        2.259516020715E+10        3.149626564831E+09        1.473365558315E-02        1.105332997848E-01        1.951711050082E-02        5.013579960737E-01        1.436908208772E-01        3.105942902649E-01        -1.919278091859E+00       3.474641030379E-01        3.402827379698E-03       
4.203500000000E+01        2.486490888060E+02        1.168930003294E-01        2.575840507454E-02        3.266455507762E-01        9.068097627788E-01        5.835579794657E-01        7.952142115064E-02        2.261178111551E+10        3.131735785741E+09        1.330736439498E-02        1.027376370299E-01        1.756250271898E-02        5.010715398470E-01        1.424141929434E-01        2.997978754150E-01        -1.895538652199E+00       3.413573175605E-01        4.657700186164E-03       
4.300000000000E+01        2.419016416840E+02        1.117798151929E-01        2.597408937976E-02        3.161367330348E-01        8.920069009300E-01        5.704737922765E-01        8.111754648379E-02        2.269497498681E+10        3.138754252436E+09        1.209851806386E-02        9.661660975382E-02        1.602930194348E-02        5.039171761801E-01        1.410357699888E-01        2.904428533889E-01        -1.874673758019E+00       3.328194974180E-01        5.730416226649E-03       
4.394700000000E+01        2.342585008890E+02        1.076706467188E-01        2.640797275387E-02        3.066875243544E-01        8.777214371809E-01        7.197881316656E-01        6.360153834177E-02        2.276787909179E+10        3.151184459103E+09        1.101392413293E-02        9.027307116071E-02        1.191648956918E-02        5.014390935710E-01        1.252898853315E-01        2.803463294744E-01        -1.869128326254E+00       3.258895174712E-01        6.720725364961E-03       
4.500000000000E+01        2.285756482850E+02        1.017058389291E-01        2.642538550362E-02        2.958951603536E-01        8.622224842456E-01        5.575207201576E-01        8.215901175526E-02        2.282775413488E+10        3.180776826310E+09        9.940940239807E-03        8.472730104683E-02        1.313939160864E-02        5.113105275549E-01        1.367332772510E-01        2.713810592630E-01        -1.850698779505E+00       3.160972384078E-01        7.762188654480E-03       
